aaa,9582365,11044,100,216
aab,9828627,9021,68,197
aac,9985578,10497,281,640
aad,9685667,8648,146,234
aae,9880581,8526,64,149
aaf,9532989,7817,112,175
aag,9890883,8232,125,201
aba,9789317,8803,61,100
abb,9865739,8110,185,314
abc,9807609,8063,354,519
abd,9933306,9031,70,199
abe,9935818,8557,82,191
abf,9618359,9618,105,267
abg,9718408,10342,158,379
aca,9977226,10867,192,388
acb,9904219,9590,51,89
acc,9376518,8852,50,82
acd,9924251,9459,147,283
ace,9815896,9016,223,525
acf,9988480,7723,34,142
acg,9889223,10073,132,283
ada,9894030,7015,269,359
adb,9708862,10211,195,331
adc,9367903,8011,159,296
add,9826353,8297,149,300
ade,9917757,8511,139,279
adf,9874110,8861,10,24
adg,9875056,9744,271,473
aea,9983692,10032,291,536
aeb,9985895,9121,150,334
aec,9906142,9383,111,223
aed,9437870,9435,40,81
aee,9781168,8424,262,423
aef,9613127,8394,76,149
aeg,9885548,8055,150,237
afa,9968032,10102,68,96
afb,9729056,9723,27,72
afc,9644309,10239,111,258
afd,9787002,9622,48,173
afe,9656373,8806,435,635
aff,9995792,8346,137,253
afg,9901972,8027,410,620
aga,9125188,9581,14,40
agb,9609483,10111,84,222
agc,9586739,9702,77,144
agd,9955714,8500,76,217
age,9988831,8070,31,60
agf,9906166,8882,164,329
agg,9995002,8866,138,320
baa,9750754,10823,109,261
bab,9944817,10410,8,18
bac,9813031,10850,127,261
bad,9833921,7696,241,424
bae,9812216,8182,5,6
baf,9745483,8342,31,59
bag,9973588,8442,126,176
bba,9955838,10542,183,479
bbb,9817724,11231,364,555
bbc,9815065,10565,181,366
bbd,9476449,9995,14,47
bbe,9951382,9149,39,119
bbf,9991367,8975,89,224
bbg,9557300,9618,80,245
bca,9818924,10423,118,296
bcb,9655303,9224,127,226
bcc,9644916,8806,71,201
bcd,9899213,10421,209,274
bce,9966276,8057,67,125
bcf,9640442,9555,21,50
bcg,9787844,7973,8,20
bda,9940955,9097,80,187
bdb,9670405,7914,39,153
bdc,9751140,8442,185,298
bdd,9657032,9172,198,271
bde,9851661,8185,257,409
bdf,9775939,6922,143,286
bdg,9829874,9050,113,182
bea,9582340,9074,10,42
beb,9709876,9562,36,145
bec,9578443,7997,46,73
bed,9870635,9251,120,224
bee,9956892,8078,198,323
bef,9937177,7875,451,1076
beg,9934118,8181,208,352
bfa,9470059,9360,115,158
bfb,9899299,9181,15,67
bfc,9844621,9739,104,165
bfd,9931268,9293,211,292
bfe,9508394,9140,91,150
bff,9939657,7718,20,56
bfg,9821447,9379,110,177
bga,9685690,9404,76,161
bgb,9881067,8372,74,270
bgc,9976099,8135,119,186
bgd,9752294,10479,102,281
bge,9413688,9399,234,409
bgf,9967167,7785,119,208
bgg,9956684,8213,138,256
caa,9902826,8904,9,23
cab,9943712,9027,29,88
cac,9931978,7483,145,242
cad,9656984,9565,16,63
cae,9399137,8787,89,163
caf,9975336,9488,22,42
cag,9308672,8751,55,262
cba,9865559,8700,90,190
cbb,9822083,8244,118,216
cbc,9700475,8576,115,164
cbd,9390595,9159,124,213
cbe,9720328,8945,42,80
cbf,9660741,9313,103,325
cbg,9618065,9662,8,22
cca,9778394,10203,105,184
ccb,9988591,11401,228,395
ccc,9772260,8865,61,99
ccd,9806798,8194,63,149
cce,9820897,8999,378,536
ccf,9824879,9124,99,265
ccg,9887218,8222,11,28
cda,9774003,9737,103,160
cdb,9746958,9130,66,180
cdc,9989421,8215,90,174
cdd,9947302,10224,15,36
cde,9971404,7678,96,157
cdf,9812616,9529,118,215
cdg,9636185,9185,11,33
cea,9874873,11204,94,253
ceb,9821945,9144,95,161
cec,9856411,8264,108,229
ced,9972385,8511,158,302
